"indice_tiempo","visitas","residencia"
2020-09-01,0,"Total"
2020-10-01,0,"Total"
2020-11-01,300,"Total"
2020-12-01,320,"Total"
2021-01-01,3469,"Total"
2021-02-01,3416,"Total"
2021-03-01,2619,"Total"
2021-04-01,2853,"Total"
2021-05-01,519,"Total"
2021-06-01,259,"Total"
2021-07-01,13250,"Total"
2021-08-01,7200,"Total"
2021-09-01,8234,"Total"
2021-10-01,12314,"Total"
2021-11-01,8560,"Total"
2021-12-01,3351,"Total"
2022-01-01,8285,"Total"
2022-02-01,8700,"Total"
2022-03-01,8430,"Total"
2022-04-01,12767,"Total"
2022-05-01,6999,"Total"
2022-06-01,8228,"Total"
2022-07-01,30529,"Total"
2022-08-01,9896,"Total"
2022-09-01,19636,"Total"
2022-10-01,15814,"Total"
2022-11-01,9192,"Total"
2022-12-01,2422,"Total"
2023-01-01,8706,"Total"
2023-02-01,6963,"Total"
2023-03-01,5478,"Total"
2023-04-01,10747,"Total"
2023-05-01,12310,"Total"
2023-06-01,12260,"Total"
2023-07-01,36491,"Total"
2023-08-01,10472,"Total"
2023-09-01,13178,"Total"
2023-10-01,14157,"Total"
2023-11-01,5760,"Total"
2023-12-01,2775,"Total"
2024-01-01,6374,"Total"
2024-02-01,4181,"Total"
2024-03-01,5832,"Total"
2024-04-01,6522,"Total"
2024-05-01,5026,"Total"
2024-06-01,8923,"Total"
2024-07-01,18627,"Total"
2024-08-01,5958,"Total"
2024-09-01,9581,"Total"
2024-10-01,8828,"Total"
2024-11-01,5404,"Total"
2024-12-01,1933,"Total"
2025-01-01,3753,"Total"
2025-02-01,2276,"Total"
2024-01-01,6001,"Residentes"
2024-01-01,373,"No residentes"
2024-02-01,3892,"Residentes"
2024-02-01,289,"No residentes"
2024-03-01,5227,"Residentes"
2024-03-01,605,"No residentes"
2024-04-01,6385,"Residentes"
2024-04-01,137,"No residentes"
2024-05-01,4695,"Residentes"
2024-05-01,331,"No residentes"
2024-06-01,8853,"Residentes"
2024-06-01,70,"No residentes"
2024-07-01,18378,"Residentes"
2024-07-01,249,"No residentes"
2024-08-01,5727,"Residentes"
2024-08-01,231,"No residentes"
2024-09-01,9304,"Residentes"
2024-09-01,277,"No residentes"
2024-10-01,8567,"Residentes"
2024-10-01,261,"No residentes"
2024-11-01,5024,"Residentes"
2024-11-01,380,"No residentes"
2024-12-01,1735,"Residentes"
2024-12-01,198,"No residentes"
2025-01-01,3516,"Residentes"
2025-01-01,237,"No residentes"
2025-02-01,2114,"Residentes"
2025-02-01,162,"No residentes"
