"indice_tiempo","area_protegida","residencia","visitas"
2004-09-01,"Bosque Petrificado Sarmiento","Residentes",87
2004-09-01,"Península Valdés","No residentes",3366
2004-09-01,"Península Valdés","Residentes",14202
2004-09-01,"Punta Loma","No residentes",741
2004-09-01,"Punta Loma","Residentes",3131
2004-09-01,"Punta Tombo","No residentes",748
2004-09-01,"Punta Tombo","Residentes",2942
2004-09-01,"Cabo Dos Bahías","No residentes",4
2004-09-01,"Cabo Dos Bahías","Residentes",168
2004-10-01,"Bosque Petrificado Sarmiento","No residentes",146
2004-10-01,"Bosque Petrificado Sarmiento","Residentes",338
2004-10-01,"Península Valdés","No residentes",7355
2004-10-01,"Península Valdés","Residentes",21225
2004-10-01,"Punta Loma","No residentes",1948
2004-10-01,"Punta Loma","Residentes",3418
2004-10-01,"Punta Tombo","No residentes",6313
2004-10-01,"Punta Tombo","Residentes",8174
2004-10-01,"Cabo Dos Bahías","No residentes",41
2004-10-01,"Cabo Dos Bahías","Residentes",564
2004-11-01,"Bosque Petrificado Sarmiento","No residentes",537
2004-11-01,"Bosque Petrificado Sarmiento","Residentes",302
2004-11-01,"Península Valdés","No residentes",14406
2004-11-01,"Península Valdés","Residentes",12368
2004-11-01,"Punta Loma","No residentes",2579
2004-11-01,"Punta Loma","Residentes",1851
2004-11-01,"Punta Tombo","No residentes",3615
2004-11-01,"Punta Tombo","Residentes",4250
2004-11-01,"Cabo Dos Bahías","No residentes",287
2004-11-01,"Cabo Dos Bahías","Residentes",751
2004-12-01,"Bosque Petrificado Sarmiento","No residentes",327
2004-12-01,"Bosque Petrificado Sarmiento","Residentes",281
2004-12-01,"Península Valdés","No residentes",8979
2004-12-01,"Península Valdés","Residentes",9818
2004-12-01,"Punta Loma","No residentes",1761
2004-12-01,"Punta Loma","Residentes",1479
2004-12-01,"Punta Tombo","No residentes",2794
2004-12-01,"Punta Tombo","Residentes",1738
2004-12-01,"Cabo Dos Bahías","No residentes",269
2004-12-01,"Cabo Dos Bahías","Residentes",542
2005-01-01,"Bosque Petrificado Sarmiento","No residentes",240
2005-01-01,"Bosque Petrificado Sarmiento","Residentes",884
2005-01-01,"Península Valdés","No residentes",8706
2005-01-01,"Península Valdés","Residentes",48142
2005-01-01,"Punta Loma","No residentes",2814
2005-01-01,"Punta Loma","Residentes",8464
2005-01-01,"Punta Tombo","No residentes",6207
2005-01-01,"Punta Tombo","Residentes",7823
2005-01-01,"Cabo Dos Bahías","No residentes",371
2005-01-01,"Cabo Dos Bahías","Residentes",2368
2005-02-01,"Bosque Petrificado Sarmiento","No residentes",410
2005-02-01,"Bosque Petrificado Sarmiento","Residentes",755
2005-02-01,"Península Valdés","No residentes",7792
2005-02-01,"Península Valdés","Residentes",25415
2005-02-01,"Punta Loma","No residentes",2678
2005-02-01,"Punta Loma","Residentes",5123
2005-02-01,"Punta Tombo","No residentes",5939
2005-02-01,"Punta Tombo","Residentes",4021
2005-02-01,"Cabo Dos Bahías","No residentes",204
2005-02-01,"Cabo Dos Bahías","Residentes",1556
2005-03-01,"Bosque Petrificado Sarmiento","No residentes",410
2005-03-01,"Bosque Petrificado Sarmiento","Residentes",900
2005-03-01,"Península Valdés","No residentes",5817
2005-03-01,"Península Valdés","Residentes",12009
2005-03-01,"Punta Loma","No residentes",550
2005-03-01,"Punta Loma","Residentes",2052
2005-03-01,"Punta Tombo","No residentes",3131
2005-03-01,"Punta Tombo","Residentes",1792
2005-03-01,"Cabo Dos Bahías","No residentes",113
2005-03-01,"Cabo Dos Bahías","Residentes",820
2005-04-01,"Bosque Petrificado Sarmiento","No residentes",99
2005-04-01,"Bosque Petrificado Sarmiento","Residentes",208
2005-04-01,"Península Valdés","No residentes",1643
2005-04-01,"Península Valdés","Residentes",6245
2005-04-01,"Punta Loma","No residentes",166
2005-04-01,"Punta Loma","Residentes",770
2005-04-01,"Punta Tombo","No residentes",235
2005-04-01,"Punta Tombo","Residentes",472
2005-04-01,"Cabo Dos Bahías","No residentes",19
2005-04-01,"Cabo Dos Bahías","Residentes",244
2005-05-01,"Bosque Petrificado Sarmiento","No residentes",100
2005-05-01,"Bosque Petrificado Sarmiento","Residentes",100
2005-05-01,"Península Valdés","No residentes",335
2005-05-01,"Península Valdés","Residentes",6526
2005-05-01,"Punta Loma","No residentes",23
2005-05-01,"Punta Loma","Residentes",425
2005-05-01,"Punta Tombo","No residentes",NA
2005-05-01,"Punta Tombo","Residentes",NA
2005-05-01,"Cabo Dos Bahías","No residentes",NA
2005-05-01,"Cabo Dos Bahías","Residentes",NA
2005-06-01,"Bosque Petrificado Sarmiento","No residentes",0
2005-06-01,"Bosque Petrificado Sarmiento","Residentes",50
2005-06-01,"Península Valdés","No residentes",478
2005-06-01,"Península Valdés","Residentes",2853
2005-06-01,"Punta Loma","No residentes",25
2005-06-01,"Punta Loma","Residentes",426
2005-06-01,"Punta Tombo","No residentes",NA
2005-06-01,"Punta Tombo","Residentes",NA
2005-06-01,"Cabo Dos Bahías","No residentes",NA
2005-06-01,"Cabo Dos Bahías","Residentes",NA
2005-07-01,"Bosque Petrificado Sarmiento","No residentes",0
2005-07-01,"Bosque Petrificado Sarmiento","Residentes",100
2005-07-01,"Península Valdés","No residentes",1091
2005-07-01,"Península Valdés","Residentes",11477
2005-07-01,"Punta Loma","No residentes",289
2005-07-01,"Punta Loma","Residentes",2410
2005-07-01,"Punta Tombo","No residentes",NA
2005-07-01,"Punta Tombo","Residentes",NA
2005-07-01,"Cabo Dos Bahías","No residentes",NA
2005-07-01,"Cabo Dos Bahías","Residentes",NA
2005-08-01,"Bosque Petrificado Sarmiento","No residentes",80
2005-08-01,"Bosque Petrificado Sarmiento","Residentes",150
2005-08-01,"Península Valdés","No residentes",3128
2005-08-01,"Península Valdés","Residentes",10010
2005-08-01,"Punta Loma","No residentes",605
2005-08-01,"Punta Loma","Residentes",1504
2005-08-01,"Punta Tombo","No residentes",NA
2005-08-01,"Punta Tombo","Residentes",NA
2005-08-01,"Cabo Dos Bahías","No residentes",NA
2005-08-01,"Cabo Dos Bahías","Residentes",NA
2005-09-01,"Bosque Petrificado Sarmiento","No residentes",35
2005-09-01,"Bosque Petrificado Sarmiento","Residentes",300
2005-09-01,"Península Valdés","No residentes",5096
2005-09-01,"Península Valdés","Residentes",18962
2005-09-01,"Punta Loma","No residentes",790
2005-09-01,"Punta Loma","Residentes",2798
2005-09-01,"Punta Tombo","No residentes",1810
2005-09-01,"Punta Tombo","Residentes",5440
2005-09-01,"Cabo Dos Bahías","No residentes",33
2005-09-01,"Cabo Dos Bahías","Residentes",321
2005-10-01,"Bosque Petrificado Sarmiento","No residentes",260
2005-10-01,"Bosque Petrificado Sarmiento","Residentes",210
2005-10-01,"Península Valdés","No residentes",12004
2005-10-01,"Península Valdés","Residentes",31342
2005-10-01,"Punta Loma","No residentes",1863
2005-10-01,"Punta Loma","Residentes",5505
2005-10-01,"Punta Tombo","No residentes",7167
2005-10-01,"Punta Tombo","Residentes",10361
2005-10-01,"Cabo Dos Bahías","No residentes",106
2005-10-01,"Cabo Dos Bahías","Residentes",1076
2005-11-01,"Bosque Petrificado Sarmiento","No residentes",534
2005-11-01,"Bosque Petrificado Sarmiento","Residentes",159
2005-11-01,"Península Valdés","No residentes",18854
2005-11-01,"Península Valdés","Residentes",15500
2005-11-01,"Punta Loma","No residentes",2186
2005-11-01,"Punta Loma","Residentes",1818
2005-11-01,"Punta Tombo","No residentes",10414
2005-11-01,"Punta Tombo","Residentes",4322
2005-11-01,"Cabo Dos Bahías","No residentes",328
2005-11-01,"Cabo Dos Bahías","Residentes",807
2005-12-01,"Bosque Petrificado Sarmiento","No residentes",1127
2005-12-01,"Bosque Petrificado Sarmiento","Residentes",1301
2005-12-01,"Península Valdés","No residentes",10001
2005-12-01,"Península Valdés","Residentes",11722
2005-12-01,"Punta Loma","No residentes",1860
2005-12-01,"Punta Loma","Residentes",1200
2005-12-01,"Punta Tombo","No residentes",7102
2005-12-01,"Punta Tombo","Residentes",1923
2005-12-01,"Cabo Dos Bahías","No residentes",221
2005-12-01,"Cabo Dos Bahías","Residentes",578
2006-01-01,"Bosque Petrificado Sarmiento","No residentes",800
2006-01-01,"Bosque Petrificado Sarmiento","Residentes",1020
2006-01-01,"Península Valdés","No residentes",9895
2006-01-01,"Península Valdés","Residentes",61434
2006-01-01,"Punta Loma","No residentes",2116
2006-01-01,"Punta Loma","Residentes",6785
2006-01-01,"Punta Tombo","No residentes",5409
2006-01-01,"Punta Tombo","Residentes",9720
2006-01-01,"Cabo Dos Bahías","No residentes",573
2006-01-01,"Cabo Dos Bahías","Residentes",2660
2006-02-01,"Bosque Petrificado Sarmiento","No residentes",550
2006-02-01,"Bosque Petrificado Sarmiento","Residentes",800
2006-02-01,"Península Valdés","No residentes",9545
2006-02-01,"Península Valdés","Residentes",33751
2006-02-01,"Punta Loma","No residentes",1590
2006-02-01,"Punta Loma","Residentes",4982
2006-02-01,"Punta Tombo","No residentes",1727
2006-02-01,"Punta Tombo","Residentes",5283
2006-02-01,"Cabo Dos Bahías","No residentes",320
2006-02-01,"Cabo Dos Bahías","Residentes",2339
2006-03-01,"Bosque Petrificado Sarmiento","No residentes",250
2006-03-01,"Bosque Petrificado Sarmiento","Residentes",530
2006-03-01,"Península Valdés","No residentes",5972
2006-03-01,"Península Valdés","Residentes",11521
2006-03-01,"Punta Loma","No residentes",1821
2006-03-01,"Punta Loma","Residentes",2033
2006-03-01,"Punta Tombo","No residentes",3496
2006-03-01,"Punta Tombo","Residentes",967
2006-03-01,"Cabo Dos Bahías","No residentes",164
2006-03-01,"Cabo Dos Bahías","Residentes",851
2006-04-01,"Bosque Petrificado Sarmiento","No residentes",150
2006-04-01,"Bosque Petrificado Sarmiento","Residentes",450
2006-04-01,"Península Valdés","No residentes",1607
2006-04-01,"Península Valdés","Residentes",7531
2006-04-01,"Punta Loma","No residentes",312
2006-04-01,"Punta Loma","Residentes",1436
2006-04-01,"Punta Tombo","No residentes",386
2006-04-01,"Punta Tombo","Residentes",939
2006-04-01,"Cabo Dos Bahías","No residentes",73
2006-04-01,"Cabo Dos Bahías","Residentes",292
2006-05-01,"Bosque Petrificado Sarmiento","No residentes",50
2006-05-01,"Bosque Petrificado Sarmiento","Residentes",200
2006-05-01,"Península Valdés","No residentes",461
2006-05-01,"Península Valdés","Residentes",3913
2006-05-01,"Punta Loma","No residentes",166
2006-05-01,"Punta Loma","Residentes",845
2006-05-01,"Punta Tombo","No residentes",NA
2006-05-01,"Punta Tombo","Residentes",NA
2006-05-01,"Cabo Dos Bahías","No residentes",NA
2006-05-01,"Cabo Dos Bahías","Residentes",NA
2006-06-01,"Bosque Petrificado Sarmiento","No residentes",20
2006-06-01,"Bosque Petrificado Sarmiento","Residentes",150
2006-06-01,"Península Valdés","No residentes",785
2006-06-01,"Península Valdés","Residentes",4294
2006-06-01,"Punta Loma","No residentes",135
2006-06-01,"Punta Loma","Residentes",741
2006-06-01,"Punta Tombo","No residentes",NA
2006-06-01,"Punta Tombo","Residentes",NA
2006-06-01,"Cabo Dos Bahías","No residentes",NA
2006-06-01,"Cabo Dos Bahías","Residentes",NA
2006-07-01,"Bosque Petrificado Sarmiento","No residentes",11
2006-07-01,"Bosque Petrificado Sarmiento","Residentes",200
2006-07-01,"Península Valdés","No residentes",1715
2006-07-01,"Península Valdés","Residentes",15559
2006-07-01,"Punta Loma","No residentes",241
2006-07-01,"Punta Loma","Residentes",2842
2006-07-01,"Punta Tombo","No residentes",NA
2006-07-01,"Punta Tombo","Residentes",NA
2006-07-01,"Cabo Dos Bahías","No residentes",NA
2006-07-01,"Cabo Dos Bahías","Residentes",NA
2006-08-01,"Bosque Petrificado Sarmiento","No residentes",47
2006-08-01,"Bosque Petrificado Sarmiento","Residentes",150
2006-08-01,"Península Valdés","No residentes",3060
2006-08-01,"Península Valdés","Residentes",14426
2006-08-01,"Punta Loma","No residentes",674
2006-08-01,"Punta Loma","Residentes",2033
2006-08-01,"Punta Tombo","No residentes",NA
2006-08-01,"Punta Tombo","Residentes",NA
2006-08-01,"Cabo Dos Bahías","No residentes",NA
2006-08-01,"Cabo Dos Bahías","Residentes",NA
2006-09-01,"Bosque Petrificado Sarmiento","No residentes",40
2006-09-01,"Bosque Petrificado Sarmiento","Residentes",330
2006-09-01,"Península Valdés","No residentes",6246
2006-09-01,"Península Valdés","Residentes",19714
2006-09-01,"Punta Loma","No residentes",1064
2006-09-01,"Punta Loma","Residentes",3614
2006-09-01,"Punta Tombo","No residentes",1885
2006-09-01,"Punta Tombo","Residentes",8469
2006-09-01,"Cabo Dos Bahías","No residentes",24
2006-09-01,"Cabo Dos Bahías","Residentes",330
2006-10-01,"Bosque Petrificado Sarmiento","No residentes",145
2006-10-01,"Bosque Petrificado Sarmiento","Residentes",420
2006-10-01,"Península Valdés","No residentes",13009
2006-10-01,"Península Valdés","Residentes",29439
2006-10-01,"Punta Loma","No residentes",1514
2006-10-01,"Punta Loma","Residentes",4695
2006-10-01,"Punta Tombo","No residentes",6293
2006-10-01,"Punta Tombo","Residentes",13433
2006-10-01,"Cabo Dos Bahías","No residentes",74
2006-10-01,"Cabo Dos Bahías","Residentes",1219
2006-11-01,"Bosque Petrificado Sarmiento","No residentes",330
2006-11-01,"Bosque Petrificado Sarmiento","Residentes",500
2006-11-01,"Península Valdés","No residentes",19007
2006-11-01,"Península Valdés","Residentes",15961
2006-11-01,"Punta Loma","No residentes",2440
2006-11-01,"Punta Loma","Residentes",1840
2006-11-01,"Punta Tombo","No residentes",10882
2006-11-01,"Punta Tombo","Residentes",6491
2006-11-01,"Cabo Dos Bahías","No residentes",319
2006-11-01,"Cabo Dos Bahías","Residentes",1137
2006-12-01,"Bosque Petrificado Sarmiento","No residentes",220
2006-12-01,"Bosque Petrificado Sarmiento","Residentes",200
2006-12-01,"Península Valdés","No residentes",11829
2006-12-01,"Península Valdés","Residentes",18007
2006-12-01,"Punta Loma","No residentes",1815
2006-12-01,"Punta Loma","Residentes",1826
2006-12-01,"Punta Tombo","No residentes",6691
2006-12-01,"Punta Tombo","Residentes",3616
2006-12-01,"Cabo Dos Bahías","No residentes",261
2006-12-01,"Cabo Dos Bahías","Residentes",999
2007-01-01,"Bosque Petrificado Sarmiento","No residentes",94
2007-01-01,"Bosque Petrificado Sarmiento","Residentes",812
2007-01-01,"Península Valdés","No residentes",10598
2007-01-01,"Península Valdés","Residentes",71249
2007-01-01,"Punta Loma","No residentes",2794
2007-01-01,"Punta Loma","Residentes",10329
2007-01-01,"Punta Tombo","No residentes",8674
2007-01-01,"Punta Tombo","Residentes",15431
2007-01-01,"Cabo Dos Bahías","No residentes",379
2007-01-01,"Cabo Dos Bahías","Residentes",2999
2007-02-01,"Bosque Petrificado Sarmiento","No residentes",325
2007-02-01,"Bosque Petrificado Sarmiento","Residentes",1232
2007-02-01,"Península Valdés","No residentes",9054
2007-02-01,"Península Valdés","Residentes",40160
2007-02-01,"Punta Loma","No residentes",4558
2007-02-01,"Punta Loma","Residentes",6163
2007-02-01,"Punta Tombo","No residentes",4723
2007-02-01,"Punta Tombo","Residentes",9470
2007-02-01,"Cabo Dos Bahías","No residentes",250
2007-02-01,"Cabo Dos Bahías","Residentes",2268
2007-03-01,"Bosque Petrificado Sarmiento","No residentes",191
2007-03-01,"Bosque Petrificado Sarmiento","Residentes",527
2007-03-01,"Península Valdés","No residentes",4972
2007-03-01,"Península Valdés","Residentes",12714
2007-03-01,"Punta Loma","No residentes",713
2007-03-01,"Punta Loma","Residentes",1640
2007-03-01,"Punta Tombo","No residentes",2602
2007-03-01,"Punta Tombo","Residentes",3159
2007-03-01,"Cabo Dos Bahías","No residentes",526
2007-03-01,"Cabo Dos Bahías","Residentes",751
2007-04-01,"Bosque Petrificado Sarmiento","No residentes",70
2007-04-01,"Bosque Petrificado Sarmiento","Residentes",836
2007-04-01,"Península Valdés","No residentes",1601
2007-04-01,"Península Valdés","Residentes",12243
2007-04-01,"Punta Loma","No residentes",331
2007-04-01,"Punta Loma","Residentes",2650
2007-04-01,"Punta Tombo","No residentes",559
2007-04-01,"Punta Tombo","Residentes",2376
2007-04-01,"Cabo Dos Bahías","No residentes",45
2007-04-01,"Cabo Dos Bahías","Residentes",715
2007-05-01,"Bosque Petrificado Sarmiento","No residentes",9
2007-05-01,"Bosque Petrificado Sarmiento","Residentes",135
2007-05-01,"Península Valdés","No residentes",545
2007-05-01,"Península Valdés","Residentes",4003
2007-05-01,"Punta Loma","No residentes",142
2007-05-01,"Punta Loma","Residentes",913
2007-05-01,"Punta Tombo","No residentes",NA
2007-05-01,"Punta Tombo","Residentes",NA
2007-05-01,"Cabo Dos Bahías","No residentes",NA
2007-05-01,"Cabo Dos Bahías","Residentes",NA
2007-06-01,"Bosque Petrificado Sarmiento","No residentes",15
2007-06-01,"Bosque Petrificado Sarmiento","Residentes",100
2007-06-01,"Península Valdés","No residentes",736
2007-06-01,"Península Valdés","Residentes",5713
2007-06-01,"Punta Loma","No residentes",127
2007-06-01,"Punta Loma","Residentes",1025
2007-06-01,"Punta Tombo","No residentes",NA
2007-06-01,"Punta Tombo","Residentes",NA
2007-06-01,"Cabo Dos Bahías","No residentes",NA
2007-06-01,"Cabo Dos Bahías","Residentes",NA
2007-07-01,"Bosque Petrificado Sarmiento","No residentes",27
2007-07-01,"Bosque Petrificado Sarmiento","Residentes",329
2007-07-01,"Península Valdés","No residentes",1768
2007-07-01,"Península Valdés","Residentes",17635
2007-07-01,"Punta Loma","No residentes",206
2007-07-01,"Punta Loma","Residentes",7203
2007-07-01,"Punta Tombo","No residentes",NA
2007-07-01,"Punta Tombo","Residentes",NA
2007-07-01,"Cabo Dos Bahías","No residentes",NA
2007-07-01,"Cabo Dos Bahías","Residentes",NA
2007-08-01,"Bosque Petrificado Sarmiento","No residentes",24
2007-08-01,"Bosque Petrificado Sarmiento","Residentes",252
2007-08-01,"Península Valdés","No residentes",3377
2007-08-01,"Península Valdés","Residentes",14725
2007-08-01,"Punta Loma","No residentes",1391
2007-08-01,"Punta Loma","Residentes",2058
2007-08-01,"Punta Tombo","No residentes",NA
2007-08-01,"Punta Tombo","Residentes",NA
2007-08-01,"Cabo Dos Bahías","No residentes",NA
2007-08-01,"Cabo Dos Bahías","Residentes",NA
2007-09-01,"Bosque Petrificado Sarmiento","No residentes",70
2007-09-01,"Bosque Petrificado Sarmiento","Residentes",322
2007-09-01,"Península Valdés","No residentes",8724
2007-09-01,"Península Valdés","Residentes",19561
2007-09-01,"Punta Loma","No residentes",590
2007-09-01,"Punta Loma","Residentes",3571
2007-09-01,"Punta Tombo","No residentes",3554
2007-09-01,"Punta Tombo","Residentes",8264
2007-09-01,"Cabo Dos Bahías","No residentes",124
2007-09-01,"Cabo Dos Bahías","Residentes",270
2007-10-01,"Bosque Petrificado Sarmiento","No residentes",105
2007-10-01,"Bosque Petrificado Sarmiento","Residentes",440
2007-10-01,"Península Valdés","No residentes",11813
2007-10-01,"Península Valdés","Residentes",29800
2007-10-01,"Punta Loma","No residentes",637
2007-10-01,"Punta Loma","Residentes",2554
2007-10-01,"Punta Tombo","No residentes",9993
2007-10-01,"Punta Tombo","Residentes",14619
2007-10-01,"Cabo Dos Bahías","No residentes",109
2007-10-01,"Cabo Dos Bahías","Residentes",1417
2007-11-01,"Bosque Petrificado Sarmiento","No residentes",287
2007-11-01,"Bosque Petrificado Sarmiento","Residentes",498
2007-11-01,"Península Valdés","No residentes",19457
2007-11-01,"Península Valdés","Residentes",17467
2007-11-01,"Punta Loma","No residentes",1790
2007-11-01,"Punta Loma","Residentes",2126
2007-11-01,"Punta Tombo","No residentes",12345
2007-11-01,"Punta Tombo","Residentes",6514
2007-11-01,"Cabo Dos Bahías","No residentes",288
2007-11-01,"Cabo Dos Bahías","Residentes",952
2007-12-01,"Bosque Petrificado Sarmiento","No residentes",93
2007-12-01,"Bosque Petrificado Sarmiento","Residentes",304
2007-12-01,"Península Valdés","No residentes",11901
2007-12-01,"Península Valdés","Residentes",19832
2007-12-01,"Punta Loma","No residentes",2091
2007-12-01,"Punta Loma","Residentes",1767
2007-12-01,"Punta Tombo","No residentes",7078
2007-12-01,"Punta Tombo","Residentes",4601
2007-12-01,"Cabo Dos Bahías","No residentes",302
2007-12-01,"Cabo Dos Bahías","Residentes",683
2008-01-01,"Bosque Petrificado Sarmiento","No residentes",232
2008-01-01,"Bosque Petrificado Sarmiento","Residentes",1813
2008-01-01,"Península Valdés","No residentes",10943
2008-01-01,"Península Valdés","Residentes",69532
2008-01-01,"Punta Loma","No residentes",2532
2008-01-01,"Punta Loma","Residentes",11007
2008-01-01,"Punta Tombo","No residentes",7955
2008-01-01,"Punta Tombo","Residentes",16640
2008-01-01,"Cabo Dos Bahías","No residentes",264
2008-01-01,"Cabo Dos Bahías","Residentes",2790
2008-02-01,"Bosque Petrificado Sarmiento","No residentes",346
2008-02-01,"Bosque Petrificado Sarmiento","Residentes",873
2008-02-01,"Península Valdés","No residentes",10220
2008-02-01,"Península Valdés","Residentes",41085
2008-02-01,"Punta Loma","No residentes",643
2008-02-01,"Punta Loma","Residentes",5875
2008-02-01,"Punta Tombo","No residentes",7263
2008-02-01,"Punta Tombo","Residentes",9898
2008-02-01,"Cabo Dos Bahías","No residentes",302
2008-02-01,"Cabo Dos Bahías","Residentes",2594
2008-03-01,"Bosque Petrificado Sarmiento","No residentes",178
2008-03-01,"Bosque Petrificado Sarmiento","Residentes",853
2008-03-01,"Península Valdés","No residentes",7302
2008-03-01,"Península Valdés","Residentes",18810
2008-03-01,"Punta Loma","No residentes",2013
2008-03-01,"Punta Loma","Residentes",3072
2008-03-01,"Punta Tombo","No residentes",5633
2008-03-01,"Punta Tombo","Residentes",5462
2008-03-01,"Cabo Dos Bahías","No residentes",134
2008-03-01,"Cabo Dos Bahías","Residentes",1227
2008-04-01,"Bosque Petrificado Sarmiento","No residentes",49
2008-04-01,"Bosque Petrificado Sarmiento","Residentes",326
2008-04-01,"Península Valdés","No residentes",1684
2008-04-01,"Península Valdés","Residentes",4539
2008-04-01,"Punta Loma","No residentes",137
2008-04-01,"Punta Loma","Residentes",941
2008-04-01,"Punta Tombo","No residentes",744
2008-04-01,"Punta Tombo","Residentes",1053
2008-04-01,"Cabo Dos Bahías","No residentes",46
2008-04-01,"Cabo Dos Bahías","Residentes",431
2008-05-01,"Bosque Petrificado Sarmiento","No residentes",10
2008-05-01,"Bosque Petrificado Sarmiento","Residentes",98
2008-05-01,"Península Valdés","No residentes",415
2008-05-01,"Península Valdés","Residentes",4314
2008-05-01,"Punta Loma","No residentes",64
2008-05-01,"Punta Loma","Residentes",559
2008-05-01,"Punta Tombo","No residentes",NA
2008-05-01,"Punta Tombo","Residentes",NA
2008-05-01,"Cabo Dos Bahías","No residentes",NA
2008-05-01,"Cabo Dos Bahías","Residentes",NA
2008-06-01,"Bosque Petrificado Sarmiento","No residentes",13
2008-06-01,"Bosque Petrificado Sarmiento","Residentes",119
2008-06-01,"Península Valdés","No residentes",767
2008-06-01,"Península Valdés","Residentes",8207
2008-06-01,"Punta Loma","No residentes",75
2008-06-01,"Punta Loma","Residentes",845
2008-06-01,"Punta Tombo","No residentes",NA
2008-06-01,"Punta Tombo","Residentes",NA
2008-06-01,"Cabo Dos Bahías","No residentes",NA
2008-06-01,"Cabo Dos Bahías","Residentes",NA
2008-07-01,"Bosque Petrificado Sarmiento","No residentes",11
2008-07-01,"Bosque Petrificado Sarmiento","Residentes",450
2008-07-01,"Península Valdés","No residentes",1847
2008-07-01,"Península Valdés","Residentes",19232
2008-07-01,"Punta Loma","No residentes",242
2008-07-01,"Punta Loma","Residentes",4189
2008-07-01,"Punta Tombo","No residentes",NA
2008-07-01,"Punta Tombo","Residentes",NA
2008-07-01,"Cabo Dos Bahías","No residentes",NA
2008-07-01,"Cabo Dos Bahías","Residentes",NA
2008-08-01,"Bosque Petrificado Sarmiento","No residentes",26
2008-08-01,"Bosque Petrificado Sarmiento","Residentes",323
2008-08-01,"Península Valdés","No residentes",3122
2008-08-01,"Península Valdés","Residentes",20446
2008-08-01,"Punta Loma","No residentes",572
2008-08-01,"Punta Loma","Residentes",4469
2008-08-01,"Punta Tombo","No residentes",NA
2008-08-01,"Punta Tombo","Residentes",NA
2008-08-01,"Cabo Dos Bahías","No residentes",NA
2008-08-01,"Cabo Dos Bahías","Residentes",NA
2008-09-01,"Bosque Petrificado Sarmiento","No residentes",64
2008-09-01,"Bosque Petrificado Sarmiento","Residentes",332
2008-09-01,"Península Valdés","No residentes",5107
2008-09-01,"Península Valdés","Residentes",22183
2008-09-01,"Punta Loma","No residentes",568
2008-09-01,"Punta Loma","Residentes",3286
2008-09-01,"Punta Tombo","No residentes",2150
2008-09-01,"Punta Tombo","Residentes",8100
2008-09-01,"Cabo Dos Bahías","No residentes",17
2008-09-01,"Cabo Dos Bahías","Residentes",1652
2008-10-01,"Bosque Petrificado Sarmiento","No residentes",129
2008-10-01,"Bosque Petrificado Sarmiento","Residentes",467
2008-10-01,"Península Valdés","No residentes",11597
2008-10-01,"Península Valdés","Residentes",29145
2008-10-01,"Punta Loma","No residentes",1131
2008-10-01,"Punta Loma","Residentes",4215
2008-10-01,"Punta Tombo","No residentes",6499
2008-10-01,"Punta Tombo","Residentes",10100
2008-10-01,"Cabo Dos Bahías","No residentes",112
2008-10-01,"Cabo Dos Bahías","Residentes",2046
2008-11-01,"Bosque Petrificado Sarmiento","No residentes",337
2008-11-01,"Bosque Petrificado Sarmiento","Residentes",559
2008-11-01,"Península Valdés","No residentes",17632
2008-11-01,"Península Valdés","Residentes",19643
2008-11-01,"Punta Loma","No residentes",1255
2008-11-01,"Punta Loma","Residentes",2041
2008-11-01,"Punta Tombo","No residentes",9800
2008-11-01,"Punta Tombo","Residentes",6299
2008-11-01,"Cabo Dos Bahías","No residentes",328
2008-11-01,"Cabo Dos Bahías","Residentes",1243
2008-12-01,"Bosque Petrificado Sarmiento","No residentes",268
2008-12-01,"Bosque Petrificado Sarmiento","Residentes",467
2008-12-01,"Península Valdés","No residentes",11731
2008-12-01,"Península Valdés","Residentes",21958
2008-12-01,"Punta Loma","No residentes",2513
2008-12-01,"Punta Loma","Residentes",2090
2008-12-01,"Punta Tombo","No residentes",5980
2008-12-01,"Punta Tombo","Residentes",4702
2008-12-01,"Cabo Dos Bahías","No residentes",260
2008-12-01,"Cabo Dos Bahías","Residentes",903
2009-01-01,"Bosque Petrificado Sarmiento","No residentes",307
2009-01-01,"Bosque Petrificado Sarmiento","Residentes",1989
2009-01-01,"Península Valdés","No residentes",9537
2009-01-01,"Península Valdés","Residentes",63057
2009-01-01,"Punta Loma","No residentes",1681
2009-01-01,"Punta Loma","Residentes",10446
2009-01-01,"Punta Tombo","No residentes",3329
2009-01-01,"Punta Tombo","Residentes",13676
2009-01-01,"Cabo Dos Bahías","No residentes",216
2009-01-01,"Cabo Dos Bahías","Residentes",2741
2009-02-01,"Bosque Petrificado Sarmiento","No residentes",284
2009-02-01,"Bosque Petrificado Sarmiento","Residentes",1394
2009-02-01,"Península Valdés","No residentes",7753
2009-02-01,"Península Valdés","Residentes",36463
2009-02-01,"Punta Loma","No residentes",2670
2009-02-01,"Punta Loma","Residentes",4390
2009-02-01,"Punta Tombo","No residentes",4601
2009-02-01,"Punta Tombo","Residentes",9239
2009-02-01,"Cabo Dos Bahías","No residentes",142
2009-02-01,"Cabo Dos Bahías","Residentes",1763
2009-03-01,"Bosque Petrificado Sarmiento","No residentes",118
2009-03-01,"Bosque Petrificado Sarmiento","Residentes",535
2009-03-01,"Península Valdés","No residentes",5349
2009-03-01,"Península Valdés","Residentes",13545
2009-03-01,"Punta Loma","No residentes",596
2009-03-01,"Punta Loma","Residentes",1848
2009-03-01,"Punta Tombo","No residentes",2273
